Photo_Name,lumMean_UV_BLADE,lumSD_UV_BLADE,area_BLADE,maxPower_BLADE,maxFreq_BLADE,propPower_BLADE,sumPower_BLADE,meanPower_BLADE,powerSD_BLADE,G_Mean_BLADE,G_SD_BLADE,B_Mean_BLADE,B_SD_BLADE,UVB_Mean_BLADE,UVB_SD_BLADE,UVR_Mean_BLADE,UVR_SD_BLADE
GP51B2L103,9.265,0.185,533,46.981,282.843,0.207,226.51,37.752,8.356,20624.008,3909.88,33132.755,5896.017,10767.246,1883.58,14805.172,2137.214
GP52A18,9.37,0.138,669,41.596,282.843,0.287,144.995,24.166,11.994,20177.829,3218.084,28650.565,4097.21,11859.703,1622.773,13886.249,1509.71
GP52A46,8.959,0.22,583,36.291,282.843,0.312,116.205,19.368,10.869,8185.835,1585.623,13839.338,2860.075,7985.189,1790.317,8751.904,2097.18
MC1BL16,9.804,0.265,431,139.723,70.711,0.196,714.017,119.003,34.821,36666.031,5567.371,56010.701,5766.886,18746.585,4488.304,22514.314,4522.383
MC2BL16,9.755,0.168,371,150.203,70.711,0.228,659.172,109.862,36.975,34103.985,5993.953,51076.154,4907.223,17534.779,2983.296,19814.812,2822.1
MC2BL48,9.824,0.178,360,138.894,50,0.223,623.55,103.925,34.777,34106.712,8493.594,51432.333,8019.647,18811.422,3476.042,20949.633,3033.063
MC2BL68,9.806,0.173,370,140.564,50,0.218,643.538,107.256,31.795,37521.854,5396.781,60760.151,8981.337,18450.858,3112.117,20853.296,3849.857
MC2BL76,9.663,0.198,357,146.85,50,0.242,606.771,101.128,36.688,36619.746,3738.337,58874.283,7499.977,16076.619,3097.314,18594.027,3698.351
MC2BL83,9.759,0.235,295,161.338,50,0.267,603.797,100.633,51.822,36062.862,5528.048,56789.864,8888.966,17885.61,4171.931,21611.158,4717.406
MC9BL196,10.072,0.166,400,134.595,50,0.2,673.434,112.239,30.185,39461.245,5668.564,61330.67,8276.058,24061.546,3983.663,27882.159,4014.478
MC9BL203,9.658,0.211,310,146.28,50,0.243,601.117,100.186,38.284,29401.741,9373.005,45118.84,10332.513,16051.006,3412.715,18513.181,3840.741
WD10B136,9.432,0.131,327,28.144,141.421,0.21,133.809,22.302,6.671,32635.635,4501.178,39772.705,4445.963,12610.447,1625.042,17515.74,1322.328
WD10B98,9.675,0.146,364,29.055,200,0.201,144.374,24.062,6.297,30654.931,4624.384,41683.803,4797.845,16111.546,2402.831,20388.147,2845.234
WD17A18,9.983,0.135,419,77.676,50,0.227,341.59,56.932,15.724,59748.502,6800.048,85614.348,8404.442,21871.386,2883.847,31313.942,3554.776
WD17A46,9.843,0.151,390,74.222,50,0.212,350.238,58.373,13.104,48113.067,6568.555,66889.703,8012.49,19065.985,2846.851,21557.987,2655.354
WD21A126,9.437,0.138,365,36.977,50,0.214,173.168,28.861,6.115,30729.36,3673.918,39703.533,4219.808,12690.453,1740.818,17892.602,1378.37
WD21A136,9.527,0.123,325,35.907,50,0.226,158.701,26.45,7.043,30919.52,3393.072,42174.901,3993.577,13853.593,1702.996,18674.317,1308.366
WD21A153,9.212,0.188,285,37.82,70.711,0.26,145.692,24.282,10.261,15934.327,3679.13,24337.342,6308.283,10211.745,1926.16,13173.747,2149.603
WD21A88,9.493,0.115,387,56.209,200,0.223,252.024,42.004,10.668,32919.109,3002.759,42685.221,3207.538,13367.515,1526.788,18257.214,1235.822
